proteins	coph	avg_shufcophs	coph_enrichment	t_coph	p_coph	SNR	avg_shufSNRs	SNR_enrichment	t_snr	p_snr
['GABPB1', 'GABPA']	83.39529742637352	1429.154596581463	0.05835288752235414	18.065814650371212	2.07982323803163e-33	3.7709137156955643	1.0485194290790192	3.596417587614753	-46.28691660143886	3.50014056705594e-69
['GABPA', 'GABPB1']	83.39529742637352	1429.154596581463	0.05835288752235414	18.065814650371212	2.07982323803163e-33	3.7709137156955643	1.0485194290790192	3.596417587614753	-46.28691660143886	3.50014056705594e-69
['NFYA', 'EP300', 'NFYB', 'NFYC', 'SP1']	764.1749390604994	1548.0846719669164	0.4936260612215598	33.048279583247506	1.3910763834776639e-55	3.694731799823259	0.9798881618305504	3.7705647886602183	-121.32845763156422	8.530341842446388e-110
['NFE2L1', 'MAFG']	2289.425738652365	1562.3764691848032	1.4653483227681432	-9.561676840225964	0.9999999999999996	3.629946550105166	0.959677137667378	3.782466422955777	-63.57566994934491	2.2134770738096187e-82
['SOX6', 'HDAC1', 'SOX5']	1050.495345647847	1474.4333273436541	0.7124739560387069	8.286041472291721	2.915696568202174e-13	3.5986637603159295	1.012677324447077	3.5536134496551544	-66.1310115933214	4.890678322550136e-84
['JUNB', 'FOSL1', 'JUN', 'FOSL2', 'ATF2', 'ATF7', 'EGR1', 'JUND']	1488.2671692365673	1482.3169914392086	1.0040141061808794	-0.27610695614618874	0.6084792631651277	3.552031344858166	0.9852006545273142	3.6053887383604937	-206.09657384832008	1.751378598654574e-132
['THRB', 'THRA', 'NCOA2', 'NCOA1', 'RXRA']	556.8256879981701	1521.7983130812293	0.36589979316690724	29.932419917163056	1.040077603991298e-51	3.413306216041819	0.9751503573487669	3.5002870996447113	-147.21440169169745	4.590385979943205e-118
['RREB1', 'KDM1A']	302.9866204979872	1548.7161231622144	0.19563728688982726	16.285258609016374	4.638008181014358e-30	3.369314086367619	1.038064481096848	3.2457656992632167	-35.03701585367081	6.713139710440938e-58
['CEBPA', 'ATF4', 'ATF3']	1119.8175759979115	1542.8893829428753	0.7257925217308804	8.695157025103732	3.80477505580588e-14	3.337376383194129	0.9840561722559561	3.3914490628549885	-73.11336451526647	2.88183436767168e-88
['TCF7', 'TEAD4', 'TEAD2', 'TCF7L2', 'SOX5', 'EP300', 'TEAD1']	978.0476797171392	1508.0497548686812	0.6485513336410483	22.342988258813975	9.33575312132523e-41	3.2790432611750835	0.9965735818882507	3.2903172638413105	-143.47692545599435	5.786247565498478e-117
