protein,average_distance_to_tss
YEATS4,48329.53719253186
ZNF384,121772.70070882299
TBL1XR1,103813.1445026178
CCAR2,105406.23470319634
SALL2,46711.97775280899
ZC3H8,47414.37478005865
STAG1,218633.18853440383
TEAD2,55547.04519119351
ZSCAN9,76763.4898525956
TSC22D2,56607.89455095863
ZNF34,40464.25342465754
ZNF75D,45085.48761904762
ZNF527,42700.93453145058
ZNF773,47596.06553911205
H3K9me3,1281705.38657845
E2F4,60093.93174968977
PATZ1,69151.33199739025
